#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
17,"El Chique, Zac.",El Chique,Lerma-Santiago-Pacífico,Zacatecas,1586.48,192.567,1580.18,138.909,1566.84,59.512,43
16,"Manuel Moreno Torres, Chis.",Chicoasén,Frontera Sur,Chiapas,395,1443.09,392.5,1384.86,392.47,1383.78,100
15,"La Codorniz, Ags.",La Codorniz,Lerma-Santiago-Pacífico,Aguascalientes,1837.76,6.528,1836,5.366,1835.54,5.096,95
14,"Miguel de la Madrid Hurtado, Oax.",Cerro de Oro,Golfo Centro,Oaxaca,72.8,3550,64.86,2599.51,60.45,1907.45,73
13,"Cuchillo Solidaridad, N.L.",El Cuchillo,Río Bravo,Nuevo León,166.66,1784.29,162.35,1123.143,160.98,958.086,85
12,"Caboraca, Dgo.",Canoas,Pacífico Norte,Durango,2001.28,57.88,1998.25,45,1998.17,44.598,99
11,"Ramón López Velarde, Zac.",Boca del Tesorero,Lerma-Santiago-Pacífico,Zacatecas,2098.16,36.744,2096,26.22,2095.98,26.134,100
10,"Manuel Ávila Camacho, Pue.",Valsequillo o Balcón del Diablo,Balsas,Puebla,2062,391.489,2059,300.097,2059.44,315.534,105
9,"Basilio Vadillo, Jal.",Las Piedras,Lerma-Santiago-Pacífico,Jalisco,978.97,146.888,974.34,124.689,973.36,140.8,113
8,"Abelardo Rodríguez Lujan, Son.",Hermosillo,Noroeste,Sonora,228.4,284.47,226.98,219.5,214,0,0
7,"Adolfo Ruíz Cortínes, Son.",Mocuzari,Noroeste,Sonora,145.47,1822.55,136.3,1039.84,125.51,451.868,43
6,"El Molino, Méx.",Molinitos,Aguas del Valle de México,México,2385.09,8.7,2384.39,7.69,2381.1,2.975,39
5,"Miguel Hidalgo, Sin.",El Mahone,Pacífico Norte,Sinaloa,148,4171.273,142.36,3312.889,116.21,714.76,22
4,"Madín, Méx.",Madín,Aguas del Valle de México,México,2346.04,17.964,2336.294,9.37,2337.45,17.054,182
3,"Ing. Alfredo Elías Ayub, Jal.",La Yesca,Lerma-Santiago-Pacífico,Nayarit,578,2392.89,575,2292.92,573.23,2236.77,98
2,"Juan Guerrero Alcocer, Sin.",Vinoramas,Pacífico Norte,Sinaloa,176.28,102,168.5,55,157.78,16.554,30
1,"Abelardo L. Rodríguez, B.C.",Abelardo L. Rodríguez o Tijuana,Península de Baja California,Baja California,125,121.392,115.85,76.902,84.77,0.317,0
